Fund,Bank Name,City_x,State_x,Closing Date_x,City_y,State_y,Closing Date_y,Population,Total Housing Units,Owner Occupied Units,Owner Occupied Rate,Bachelors or higher,Census Year
4658,Bank of Alamo,Alamo,TN,2002-11-08,Alamo,TN,2002-11-08,1197816,514372.0,194231.0,0.37760803465196396,0.047,2000
4657,AmTrade International Bank,Atlanta,GA,2002-09-30,Atlanta,GA,2002-09-30,837,,,,,2000
6005,Universal Federal Savings Bank,Chicago,IL,2002-06-27,Chicago,IL,2002-06-27,2099451,902745.0,352374.0,0.39033614143528905,0.055,2000
4656,Connecticut Bank of Commerce,Stamford,CT,2002-06-26,Stamford,CT,2002-06-26,595,201.0,144.0,0.7164179104477612,0.107,2000
4655,New Century Bank,Shelby Township,MI,2002-03-28,Shelby Township,MI,2002-03-28,67311,21997.0,15186.0,0.6903668682093013,0.038,2000
4654,Net 1st National Bank,Boca Raton,FL,2002-03-01,Boca Raton,FL,2002-03-01,186440,81294.0,34903.0,0.4293428789332546,0.084,2000
4653,"NextBank, NA",Phoenix,AZ,2002-02-07,Phoenix,AZ,2002-02-07,58404,,,,,2000
4652,Oakwood Deposit Bank Co.,Oakwood,OH,2002-02-01,Oakwood,OH,2002-02-01,42393,,,,,2000
4651,Bank of Sierra Blanca,Sierra Blanca,TX,2002-01-18,Sierra Blanca,TX,2002-01-18,37729,,,,,2000
4650,"Hamilton Bank, NA",Miami,FL,2002-01-11,Miami,FL,2002-01-11,161791,69847.0,33882.0,0.48508883702950734,0.034,2000
4649,Sinclair National Bank,Gravette,AR,2001-09-07,Gravette,AR,2001-09-07,78860,33814.0,13343.0,0.39459986987638257,0.1,2000
6004,"Superior Bank, FSB",Hinsdale,IL,2001-07-27,Hinsdale,IL,2001-07-27,4456,1647.0,986.0,0.5986642380085003,0.241,2000
4648,Malta National Bank,Malta,OH,2001-05-03,Malta,OH,2001-05-03,429,,,,,2000
4647,First Alliance Bank & Trust Co.,Manchester,NH,2001-02-02,Manchester,NH,2001-02-02,3009,,,,,2000
